código_do_plano_de_contas;código_do_período;início;fim;anterior;débito;crédito;atual;movimento;ukey;descrição_do_plano_de_contas;código_auxiliar;períodos_contábeis;tipo_de_período;tipo;origem
"1101020059";"2501";01/01/2025 00:00:00;31/01/2025 00:00:00;0,000000;0,000000;0,000000;0,000000;"M";"20171004OK5TX00OQZBD";"BIC BANCO AG. 0014 / C.C. 14102181-8";"84";"20250228PHYYBI0QZJ3T";1;2;1
"1101020060";"2501";01/01/2025 00:00:00;31/01/2025 00:00:00;0,000000;0,000000;0,000000;0,000000;"M";"20171004OK5TX00OQZBE";"CITIBANK USD";"85";"20250228PHYYBI0QZJ3T";1;2;1
"1101020061";"2501";01/01/2025 00:00:00;31/01/2025 00:00:00;0,000000;0,000000;0,000000;0,000000;"M";"20171004OK5TX00OQZBF";"CITIBANK USD 001-36915827";"86";"20250228PHYYBI0QZJ3T";1;2;1
"1101020062";"2501";01/01/2025 00:00:00;31/01/2025 00:00:00;0,000000;0,000000;0,000000;0,000000;"M";"20171004OK5TX00OQZBG";"BANCO SANTANDER - AG. 3934 / C.C. 13-000298-2";"87";"20250228PHYYBI0QZJ3T";1;2;1
"1101020063";"2501";01/01/2025 00:00:00;31/01/2025 00:00:00;0,000000;0,000000;0,000000;0,000000;"M";"20171004OK5TX00OQZBH";"CITIBANK EUR0 0001-36915827";"88";"20250228PHYYBI0QZJ3T";1;2;1
"1101020064";"2501";01/01/2025 00:00:00;31/01/2025 00:00:00;0,000000;0,000000;0,000000;0,000000;"M";"20171004OK5TX00OQZBI";"CITIBANK ZAR 0001-36915827";"89";"20250228PHYYBI0QZJ3T";1;2;1
"1101020065";"2501";01/01/2025 00:00:00;31/01/2025 00:00:00;0,000000;0,000000;0,000000;0,000000;"M";"20171004OK5TX00OQZBJ";"BANCO SAFRA - C.C. 17453-7";"90";"20250228PHYYBI0QZJ3T";1;2;1
"1101020066";"2501";01/01/2025 00:00:00;31/01/2025 00:00:00;0,000000;0,000000;0,000000;0,000000;"M";"20171004OK5TX00OQZBK";"BRADESCO 5056-3";"91";"20250228PHYYBI0QZJ3T";1;2;1
"1101020067";"2501";01/01/2025 00:00:00;31/01/2025 00:00:00;0,000000;0,000000;0,000000;0,000000;"M";"20171004OK5TX00OQZBL";"BRADESCO 8555-3";"92";"20250228PHYYBI0QZJ3T";1;2;1
"1101020068";"2501";01/01/2025 00:00:00;31/01/2025 00:00:00;0,000000;0,000000;0,000000;0,000000;"M";"20171004OK5TX00OQZBM";"BANCO BRADESCO C/C 5095-4";"93";"20250228PHYYBI0QZJ3T";1;2;1
